排名,姓名,性别,地区,分类,达人指数,粉丝总量,作品总数,点赞总数,平均点赞,平均评论,平均转发,粉丝增量,视频数,新增直播数,点赞增量,评论增量,转发增量,观看总人数,峰值人数,送礼UV,关注增量,粉丝团增量,商品数,销售额,销量,音浪收入,总佣金
1,大狼狗郑建鹏&言真夫妇,男,广州,6,1110.7,38814000.0,497.0,560000000.0,179000.0,2983.0,886.0,1264000.0,85.0,11.0,30797000.0,386000.0,224000.0,5520000.0,129000.0,17000.0,41000.0,588000.0,91.0,5330000.0,22000.0,395000.0,568000.0
2,豆豆_Babe,女,北京市,10,1035.3,9349000.0,345.0,90562000.0,169000.0,6648.0,2096.0,627000.0,13.0,3.0,4482000.0,121000.0,58000.0,1684000.0,16000.0,9617.0,6933.0,11000.0,149.0,4684000.0,103000.0,90000.0,1380.0
3,德国Hanke周日8点厨具专场,男,斯图加特,5,924.1,2058000.0,159.0,17781000.0,12000.0,1542.0,190.0,37000.0,28.0,8.0,434000.0,44000.0,5076.0,562000.0,5967.0,1448.0,2997.0,1152.0,188.0,1274000.0,18000.0,19000.0,129000.0
4,于子蛟,男,北京,2,968.5,6090000.0,335.0,20753000.0,3585.0,58.0,18.0,293000.0,77.0,3.0,632000.0,8207.0,2911.0,227000.0,38000.0,1642.0,3788.0,36000.0,169.0,17467000.0,331000.0,186000.0,2236000.0
5,阿纯是打假测评家,男,沈阳,5,1001.2,7747000.0,125.0,51548000.0,49000.0,1206.0,54.0,472000.0,52.0,19.0,5993000.0,134000.0,218000.0,4100000.0,22000.0,39000.0,68000.0,426000.0,227.0,18791000.0,375000.0,277000.0,1938000.0
6,老爸评测,未知,杭州市,5,1067.1,15300000.0,629.0,62834000.0,94000.0,5514.0,11000.0,416000.0,46.0,11.0,3784000.0,191000.0,311000.0,2590000.0,13000.0,9080.0,3986.0,4701.0,429.0,3506000.0,53000.0,51000.0,862.0
7,崔析桐,女,Jung-gu,13,811.9,513000.0,264.0,1486000.0,7334.0,463.0,239.0,70000.0,15.0,17.0,150000.0,7973.0,4588.0,766000.0,944.0,1015.0,11000.0,9205.0,1753.0,7731000.0,42000.0,2342.0,7770.0
8,陈彦妃,女,上海,2,984.3,6846000.0,190.0,46985000.0,169000.0,4381.0,981.0,502000.0,12.0,0.0,4523000.0,76000.0,33000.0,1824000.0,30000.0,9294.0,33000.0,6994.0,22.0,5000000.0,30000.0,70000.0,8000.0
9,韩国媳妇大璐璐,女,,10,1001.8,7008000.0,575.0,78270000.0,14000.0,376.0,39.0,60000.0,131.0,13.0,2026000.0,52000.0,7011.0,6790000.0,41000.0,147000.0,100000.0,1184000.0,249.0,56951000.0,826000.0,897000.0,1634000.0
10,种草丛,女,嘉兴,5,814.3,392000.0,182.0,2017000.0,3396.0,90.0,328.0,19000.0,57.0,24.0,186000.0,5521.0,14000.0,754000.0,2624.0,17000.0,2916.0,206000.0,1551.0,15658000.0,128000.0,96000.0,926000.0
11,👑盈公主👑卓雅品牌18点直播,女,杭州,13,925.6,1769000.0,284.0,17515000.0,1882.0,90.0,55.0,96000.0,337.0,27.0,798000.0,27000.0,15000.0,2176000.0,6453.0,14000.0,29000.0,21000.0,498.0,7423000.0,35000.0,271000.0,32764000.0
12,韩国媳妇大王,女,Yeonsu-gu,4,918.6,1427000.0,619.0,14107000.0,1655.0,84.0,39.0,6419.0,38.0,13.0,67000.0,2989.0,1476.0,785000.0,4983.0,8917.0,9935.0,4863.0,463.0,4598000.0,36000.0,32000.0,3212.0
13,醉鹅娘,女,,7,941.2,3336000.0,505.0,13708000.0,9149.0,505.0,278.0,22000.0,38.0,1.0,266000.0,17000.0,10000.0,136000.0,2868.0,380.0,260.0,154.0,50.0,450000.0,3000.0,307000.0,30000.0
14,搭搭dada,女,北京,10,954.3,2291000.0,190.0,26032000.0,32000.0,2078.0,660.0,455000.0,74.0,14.0,2169000.0,95000.0,30000.0,4342000.0,28000.0,51000.0,221000.0,241000.0,153.0,8329000.0,74000.0,249000.0,740000.0
15,WIS护肤,未知,广州,10,742.7,287000.0,122.0,1475000.0,93.0,6.0,1.0,60000.0,34.0,33.0,45000.0,706.0,683.0,2412000.0,24000.0,3892.0,62000.0,3276.0,514.0,2196000.0,20000.0,150000.0,149.0
16,一家三口美食,女,北京,7,962.4,4954000.0,283.0,13650000.0,148000.0,3077.0,16000.0,1312000.0,16.0,24.0,3570000.0,79000.0,417000.0,1091000.0,7132.0,2432.0,47000.0,14000.0,562.0,22102000.0,89000.0,12000.0,828000.0
17,小小101,女,,13,989.2,7461000.0,132.0,59727000.0,12000.0,529.0,58.0,11000.0,25.0,26.0,1026000.0,26000.0,16000.0,2811000.0,19000.0,12000.0,9153.0,58000.0,516.0,2718000.0,53000.0,103000.0,34000.0
18,秀之阁美发,男,苏州,4,940.6,3397000.0,118.0,22850000.0,67000.0,3283.0,204.0,121000.0,7.0,6.0,-309000.0,35000.0,7502.0,867000.0,8190.0,2711.0,13000.0,1313.0,6.0,376000.0,2723.0,847000.0,34000.0
19,辣辣来撸妆,女,杭州,10,946.2,2416000.0,232.0,21265000.0,54000.0,2630.0,1455.0,132000.0,13.0,0.0,1442000.0,49000.0,33000.0,10000000.0,100000.0,15000.0,30000.0,150000.0,180.0,270.0,50000.0,250000.0,300000.0
20,晨妍6月22日直播,女,杭州市,13,1043.0,13495000.0,419.0,190000000.0,63000.0,1099.0,170.0,116000.0,75.0,12.0,7281000.0,125000.0,25000.0,9299000.0,103000.0,13000.0,29000.0,127000.0,167.0,2690000.0,47000.0,170000.0,270000.0
21,大码胖佳佳,女,杭州,13,939.7,3352000.0,283.0,12163000.0,65000.0,3061.0,2222.0,690000.0,14.0,58.0,2353000.0,122000.0,67000.0,7009000.0,15000.0,10000.0,134000.0,142000.0,2119.0,4356000.0,58000.0,45000.0,28000.0
22,多余和毛毛姐,男,贵阳,6,1133.7,34122000.0,248.0,420000000.0,91000.0,3893.0,608.0,-245000.0,28.0,14.0,3582000.0,187000.0,49000.0,12676000.0,47000.0,33000.0,24000.0,169000.0,98.0,7367000.0,34000.0,656000.0,876000.0
23,古阿新,男,西安,1,917.4,2000000.0,584.0,21253000.0,5072.0,339.0,37.0,39000.0,83.0,35.0,542000.0,41000.0,9312.0,1156000.0,1474.0,2501.0,13000.0,4024.0,2054.0,1175000.0,4088.0,17000.0,59000.0
24,胖胖哥穿搭,男,杭州,13,776.0,258000.0,418.0,1420000.0,654.0,82.0,9.0,5279.0,41.0,14.0,44000.0,3033.0,411.0,39000.0,111.0,105.0,382.0,218.0,252.0,30000.0,478.0,1320.0,163.0
25,企鹅妈妈,女,大连,12,884.3,692000.0,397.0,5764000.0,2530.0,153.0,21.0,84000.0,117.0,17.0,338000.0,20000.0,4545.0,3304000.0,9943.0,17000.0,42000.0,58000.0,780.0,4146000.0,52000.0,120000.0,225000.0
26,玥玥妈,女,深圳,9,831.5,265000.0,453.0,1765000.0,1324.0,180.0,94.0,26000.0,132.0,17.0,222000.0,30000.0,16000.0,471000.0,2829.0,2830.0,2833.0,1777.0,392.0,3565000.0,38000.0,5412.0,176000.0
27,张贝贝ibell,女,,13,846.2,508000.0,147.0,3181000.0,2271.0,148.0,149.0,,18.0,0.0,18000.0,1758.0,1697.0,800000.0,4000.0,5000.0,7000.0,20000.0,100.0,1000000.0,10000.0,60000.0,250000.0
